"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)"
"Totaal misdrijven";"2022 december";"Bergen op Zoom";"     289"
"Totaal misdrijven";"2023 januari";"Bergen op Zoom";"     320"
"Totaal misdrijven";"2023 februari";"Bergen op Zoom";"     296"
"Totaal misdrijven";"2023 maart";"Bergen op Zoom";"     322"
"Totaal misdrijven";"2023 april";"Bergen op Zoom";"     272"
"Totaal misdrijven";"2023 mei";"Bergen op Zoom";"     270"
"Totaal misdrijven";"2023 juni";"Bergen op Zoom";"     282"
"Totaal misdrijven";"2023 juli";"Bergen op Zoom";"     296"
"Totaal misdrijven";"2023 augustus";"Bergen op Zoom";"     264"
"Totaal misdrijven";"2022 september";"Berkelland";"     118"
"Totaal misdrijven";"2022 oktober";"Berkelland";"      89"
"Totaal misdrijven";"2022 november";"Berkelland";"      78"
"Totaal misdrijven";"2022 december";"Berkelland";"      83"
"Totaal misdrijven";"2023 januari";"Berkelland";"     113"
"Totaal misdrijven";"2023 februari";"Berkelland";"      79"
"Totaal misdrijven";"2023 maart";"Berkelland";"     102"
"Totaal misdrijven";"2023 april";"Berkelland";"      89"
"Totaal misdrijven";"2023 mei";"Berkelland";"      93"
"Totaal misdrijven";"2023 juni";"Berkelland";"      95"
"Totaal misdrijven";"2023 juli";"Berkelland";"      70"
"Totaal misdrijven";"2023 augustus";"Berkelland";"      79"
"Totaal misdrijven";"2022 september";"Bernheze";"      73"
"Totaal misdrijven";"2022 oktober";"Bernheze";"      82"
"Totaal misdrijven";"2022 november";"Bernheze";"      94"
"Totaal misdrijven";"2022 december";"Bernheze";"      73"
"Totaal misdrijven";"2023 januari";"Bernheze";"      57"
"Totaal misdrijven";"2023 februari";"Bernheze";"      62"
"Totaal misdrijven";"2023 maart";"Bernheze";"      86"
"Totaal misdrijven";"2023 april";"Bernheze";"      84"
"Totaal misdrijven";"2023 mei";"Bernheze";"      64"
"Totaal misdrijven";"2023 juni";"Bernheze";"      57"
"Totaal misdrijven";"2023 juli";"Bernheze";"      52"
"Totaal misdrijven";"2023 augustus";"Bernheze";"      86"
"Totaal misdrijven";"2022 september";"Best";"     124"
"Totaal misdrijven";"2022 oktober";"Best";"     127"
"Totaal misdrijven";"2022 november";"Best";"     116"
"Totaal misdrijven";"2022 december";"Best";"      96"
"Totaal misdrijven";"2023 januari";"Best";"      95"
"Totaal misdrijven";"2023 februari";"Best";"      86"
"Totaal misdrijven";"2023 maart";"Best";"      97"
"Totaal misdrijven";"2023 april";"Best";"     110"
"Totaal misdrijven";"2023 mei";"Best";"     126"
"Totaal misdrijven";"2023 juni";"Best";"     105"
"Totaal misdrijven";"2023 juli";"Best";"     120"
"Totaal misdrijven";"2023 augustus";"Best";"      87"
"Totaal misdrijven";"2022 september";"Beuningen";"      63"
"Totaal misdrijven";"2022 oktober";"Beuningen";"      61"
"Totaal misdrijven";"2022 november";"Beuningen";"      50"
"Totaal misdrijven";"2022 december";"Beuningen";"      86"
"Totaal misdrijven";"2023 januari";"Beuningen";"      54"
"Totaal misdrijven";"2023 februari";"Beuningen";"      63"
"Totaal misdrijven";"2023 maart";"Beuningen";"      60"
"Totaal misdrijven";"2023 april";"Beuningen";"      38"
"Totaal misdrijven";"2023 mei";"Beuningen";"      55"
"Totaal misdrijven";"2023 juni";"Beuningen";"      61"
"Totaal misdrijven";"2023 juli";"Beuningen";"      86"
"Totaal misdrijven";"2023 augustus";"Beuningen";"      57"
"Totaal misdrijven";"2022 september";"Beverwijk";"     147"
"Totaal misdrijven";"2022 oktober";"Beverwijk";"     193"
"Totaal misdrijven";"2022 november";"Beverwijk";"     164"
