Id,crimes_count,region,year
5268,1575,GM0310,2017JJ00
5274,1495,GM0310,2018JJ00
5280,1665,GM0310,2019JJ00
5286,1835,GM0310,2020JJ00
5292,1590,GM0310,2021JJ00
5298,1675,GM0310,2022JJ00
5304,1070,GM0585,2010JJ00
5310,1090,GM0585,2011JJ00
5316,980,GM0585,2012JJ00
5322,900,GM0585,2013JJ00
5328,830,GM0585,2014JJ00
5334,840,GM0585,2015JJ00
5340,735,GM0585,2016JJ00
5346,620,GM0585,2017JJ00
5352,570,GM0585,2018JJ00
5382,920,GM1728,2010JJ00
5388,1035,GM1728,2011JJ00
5394,905,GM1728,2012JJ00
5400,940,GM1728,2013JJ00
5406,775,GM1728,2014JJ00
5412,875,GM1728,2015JJ00
5418,850,GM1728,2016JJ00
5424,615,GM1728,2017JJ00
5430,590,GM1728,2018JJ00
5436,590,GM1728,2019JJ00
5442,700,GM1728,2020JJ00
5448,670,GM1728,2021JJ00
5454,580,GM1728,2022JJ00
5460,565,GM0376,2010JJ00
5466,485,GM0376,2011JJ00
5472,520,GM0376,2012JJ00
5478,510,GM0376,2013JJ00
5484,495,GM0376,2014JJ00
5490,475,GM0376,2015JJ00
5496,520,GM0376,2016JJ00
5502,440,GM0376,2017JJ00
5508,335,GM0376,2018JJ00
5514,440,GM0376,2019JJ00
5520,375,GM0376,2020JJ00
5526,345,GM0376,2021JJ00
5532,360,GM0376,2022JJ00
5538,1450,GM0377,2010JJ00
5544,1580,GM0377,2011JJ00
5550,1520,GM0377,2012JJ00
5556,1565,GM0377,2013JJ00
5562,1255,GM0377,2014JJ00
5568,1180,GM0377,2015JJ00
5574,1030,GM0377,2016JJ00
5580,960,GM0377,2017JJ00
5586,905,GM0377,2018JJ00
5592,860,GM0377,2019JJ00
5598,1080,GM0377,2020JJ00
5604,970,GM0377,2021JJ00
5610,950,GM0377,2022JJ00
5616,700,GM0055,2010JJ00
5622,785,GM0055,2011JJ00
5628,775,GM0055,2012JJ00
5634,710,GM0055,2013JJ00
5694,1145,GM0497,2010JJ00
5778,1965,GM1901,2011JJ00
5784,1850,GM1901,2012JJ00
5790,1530,GM1901,2013JJ00
5796,1470,GM1901,2014JJ00
5802,1315,GM1901,2015JJ00
5808,1465,GM1901,2016JJ00
5814,1310,GM1901,2017JJ00
5820,1170,GM1901,2018JJ00
5826,1120,GM1901,2019JJ00
5832,1230,GM1901,2020JJ00
5838,1180,GM1901,2021JJ00
5844,1375,GM1901,2022JJ00
5850,325,GM0755,2010JJ00
5856,320,GM0755,2011JJ00
5862,360,GM0755,2012JJ00
5868,330,GM0755,2013JJ00
5874,330,GM0755,2014JJ00
5880,300,GM0755,2015JJ00
5886,310,GM0755,2016JJ00
5892,225,GM0755,2017JJ00
5898,250,GM0755,2018JJ00
5904,260,GM0755,2019JJ00
5910,265,GM0755,2020JJ00
5916,290,GM0755,2021JJ00
5922,365,GM0755,2022JJ00
5928,190,GM0009,2010JJ00
5934,185,GM0009,2011JJ00
5940,190,GM0009,2012JJ00
5946,165,GM0009,2013JJ00
5952,155,GM0009,2014JJ00
5958,140,GM0009,2015JJ00
5964,155,GM0009,2016JJ00
5970,125,GM0009,2017JJ00
5976,110,GM0009,2018JJ00
6006,510,GM0064,2010JJ00
6084,825,GM1681,2010JJ00
6090,880,GM1681,2011JJ00
6096,845,GM1681,2012JJ00
6102,690,GM1681,2013JJ00
6108,690,GM1681,2014JJ00
6114,705,GM1681,2015JJ00
6120,600,GM1681,2016JJ00
6126,540,GM1681,2017JJ00
6132,555,GM1681,2018JJ00
6138,615,GM1681,2019JJ00
6144,605,GM1681,2020JJ00
6150,620,GM1681,2021JJ00
6156,590,GM1681,2022JJ00
6162,725,GM0147,2010JJ00
6168,730,GM0147,2011JJ00
6174,705,GM0147,2012JJ00
6180,710,GM0147,2013JJ00
6186,720,GM0147,2014JJ00
6192,715,GM0147,2015JJ00
6198,670,GM0147,2016JJ00
6204,605,GM0147,2017JJ00
6210,580,GM0147,2018JJ00
6216,655,GM0147,2019JJ00
6222,625,GM0147,2020JJ00
6228,620,GM0147,2021JJ00
6234,795,GM0147,2022JJ00
6240,585,GM0654,2010JJ00
6246,715,GM0654,2011JJ00
6252,590,GM0654,2012JJ00
6258,535,GM0654,2013JJ00
6264,510,GM0654,2014JJ00
6270,560,GM0654,2015JJ00
6276,495,GM0654,2016JJ00
6282,465,GM0654,2017JJ00
6288,380,GM0654,2018JJ00
6294,455,GM0654,2019JJ00
6300,530,GM0654,2020JJ00
6306,480,GM0654,2021JJ00
6312,480,GM0654,2022JJ00
6318,800,GM0499,2010JJ00
6324,850,GM0499,2011JJ00
6330,735,GM0499,2012JJ00
6336,745,GM0499,2013JJ00
6396,1295,GM0756,2010JJ00
6402,1325,GM0756,2011JJ00
6408,1345,GM0756,2012JJ00
6414,1220,GM0756,2013JJ00
6420,1120,GM0756,2014JJ00
6426,1155,GM0756,2015JJ00
6432,1035,GM0756,2016JJ00
6438,860,GM0756,2017JJ00
6444,870,GM0756,2018JJ00
6450,990,GM0756,2019JJ00
6456,1105,GM0756,2020JJ00
6462,1045,GM0756,2021JJ00
6474,2000,GM0757,2010JJ00
6480,1820,GM0757,2011JJ00
6486,1915,GM0757,2012JJ00
6492,1750,GM0757,2013JJ00
6498,1485,GM0757,2014JJ00
6504,1500,GM0757,2015JJ00
6510,1435,GM0757,2016JJ00
6516,1100,GM0757,2017JJ00
6522,1140,GM0757,2018JJ00
6528,1225,GM0757,2019JJ00
6534,1200,GM0757,2020JJ00
6540,1310,GM0757,2021JJ00
6546,1160,GM0757,2022JJ00
6552,16580,GM0758,2010JJ00
6558,17630,GM0758,2011JJ00
6564,17175,GM0758,2012JJ00
6570,15695,GM0758,2013JJ00
6576,14420,GM0758,2014JJ00
6582,13540,GM0758,2015JJ00
6588,12835,GM0758,2016JJ00
6594,11405,GM0758,2017JJ00
6600,10650,GM0758,2018JJ00
6606,11280,GM0758,2019JJ00
6612,11140,GM0758,2020JJ00
6618,10090,GM0758,2021JJ00
6624,10935,GM0758,2022JJ00
6630,1420,GM0311,2010JJ00
6708,835,GM0501,2010JJ00
6714,1020,GM0501,2011JJ00
6720,910,GM0501,2012JJ00
6726,940,GM0501,2013JJ00
6732,750,GM0501,2014JJ00
6738,880,GM0501,2015JJ00
6744,645,GM0501,2016JJ00
6750,660,GM0501,2017JJ00
6756,680,GM0501,2018JJ00
6762,665,GM0501,2019JJ00
6768,620,GM0501,2020JJ00
6774,715,GM0501,2021JJ00
6780,690,GM0501,2022JJ00
6786,1170,GM1876,2010JJ00
6792,1180,GM1876,2011JJ00
6798,1030,GM1876,2012JJ00
6804,1075,GM1876,2013JJ00
6810,970,GM1876,2014JJ00
6816,805,GM1876,2015JJ00
6822,775,GM1876,2016JJ00
6828,720,GM1876,2017JJ00
6834,625,GM1876,2018JJ00
6840,715,GM1876,2019JJ00
6846,745,GM1876,2020JJ00
6852,710,GM1876,2021JJ00
6858,730,GM1876,2022JJ00
6864,1155,GM0213,2010JJ00
6870,1165,GM0213,2011JJ00
6876,1010,GM0213,2012JJ00
6882,1050,GM0213,2013JJ00
6888,765,GM0213,2014JJ00
6894,745,GM0213,2015JJ00
6900,625,GM0213,2016JJ00
6906,550,GM0213,2017JJ00
6912,520,GM0213,2018JJ00
6918,600,GM0213,2019JJ00
6924,610,GM0213,2020JJ00
6930,570,GM0213,2021JJ00
6936,585,GM0213,2022JJ00
6942,2065,GM0899,2010JJ00
6948,2030,GM0899,2011JJ00
6954,2000,GM0899,2012JJ00
6960,1895,GM0899,2013JJ00
6966,1940,GM0899,2014JJ00
6972,1865,GM0899,2015JJ00
6978,1775,GM0899,2016JJ00
6984,1360,GM0899,2017JJ00
6990,1280,GM0899,2018JJ00
6996,1250,GM0899,2019JJ00
7002,1170,GM0899,2020JJ00
7008,1260,GM0899,2021JJ00
7014,1190,GM0899,2022JJ00
7020,765,GM0312,2010JJ00
7026,770,GM0312,2011JJ00
7032,800,GM0312,2012JJ00
7038,675,GM0312,2013JJ00
7044,680,GM0312,2014JJ00
7050,680,GM0312,2015JJ00
7056,610,GM0312,2016JJ00
7062,530,GM0312,2017JJ00
7068,605,GM0312,2018JJ00
7074,565,GM0312,2019JJ00
7080,550,GM0312,2020JJ00
7086,470,GM0312,2021JJ00
7092,425,GM0312,2022JJ00
7098,780,GM0313,2010JJ00
7104,700,GM0313,2011JJ00
7110,795,GM0313,2012JJ00
7116,655,GM0313,2013JJ00
7122,660,GM0313,2014JJ00
7128,760,GM0313,2015JJ00
7134,645,GM0313,2016JJ00
7140,585,GM0313,2017JJ00
7146,505,GM0313,2018JJ00
7152,630,GM0313,2019JJ00
7158,635,GM0313,2020JJ00
7164,605,GM0313,2021JJ00
7170,620,GM0313,2022JJ00
7176,860,GM0214,2010JJ00
7182,965,GM0214,2011JJ00
7188,905,GM0214,2012JJ00
7194,940,GM0214,2013JJ00
7200,865,GM0214,2014JJ00
7206,715,GM0214,2015JJ00
7212,765,GM0214,2016JJ00
7218,640,GM0214,2017JJ00
